POCHWALA Tomasz	Polska
PREVC Peter	Slowenia
RADELJ Jure	Slowenia
READ Stefan	Kanada
REICHEL Frank	Niemcy
REMY Maxime	Francja
RENE ELVERUM SORSELL Kim	Norwegia
RITZERFELD Joerg	Niemcy
ROENSEN Atle Pedersen	Norwegia
ROMOEREN Bjoern-Einar	Norwegia
ROSLIAKOV Ilja	Rosja
RUTKOWSKI Lukasz	Polska
RUTKOWSKI Mateusz	Polska
RUUSKANEN Juha-Matti	Finlandia
SAITO Hiroya	Japonia
SAKALA Jaroslav	Czechy
SAKANO Yukio	Japonia
SAKUYAMA Kento	Japonia
SALMINEN Pekka	Finlandia
SALUMAE Jens	Estonia
SANTIAGO Remi	Francja
SCHABEREITER Florian	Austria
SCHLIERENZAUER Gregor	Austria
SCHMITT Martin	Niemcy
SCHNEIDER Balthasar	Austria
SCHOFT Felix	Niemcy
SCHWARZENBERGER Reinhard	Austria
SEDLAK Borek	Czechy
SHUMBARETS Vitaliy	Ukraina
SILAEV Alexei	Rosja
SIMON Erik	Niemcy
SINKOVEC Jure	Slowenia
SKLETT Vegard-Haukoe	Norwegia
SKUPIEN Wojciech	Polska
SOININEN Jani	Finlandia
SOLEM Morten	Norwegia
SPAETH Georg	Niemcy
STEINAUER Marco	Szwajcaria
STENSRUD Henning	Norwegia
STJERNEN Andreas	Norwegia
STOCH Kamil	Polska
STOERL Dennis	Niemcy
SLIZ Rafal	Polska
TAJNER Tomislaw	Polska
TAJNER Wojciech	Polska
TAKANO Teppei	Japonia
TAKEUCHI Taku	Japonia
TAKHTAKHUNOV Assan	Kazachstan
TEPES Jurij	Slowenia
THURNBICHLER Stefan	Austria
TOCHIMOTO Shohhei	Japonia
UENO Shingo	Japonia
UHRMANN Michael	Niemcy
ULMER Christian	Niemcy
URBANC Rok	Slowenia
URH-ZUPAN Primoz	Slowenia
VACULIK Ondrej	Czechy
VASSILIEV Dimitry	Rosja
VILBERG Andreas	Norwegia
VRHOVNIK Blaz	Slowenia
WANK Andreas	Niemcy
WATASE Yuta	Japonia
WIDHOELZL Andreas	Austria
YAMADA Hiroki	Japonia
YLIJAERVI Janne	Finlandia
YLIRIESTO Kimmo	Finlandia
YOSHIOKA Kazuya	Japonia
YUMOTO Fumihisa	Japonia
ZAUNER David	Austria
ZHAPAROV Radik	Kazachstan
ZONTA Peter	Slowenia
ZUPAN Bine	Slowenia
ZYLA Piotr	Polska
